OBJECTID,DAUID,CSDUID,CSDNAME,TOT_MOBILITY_STATUS_1YR_AGO,MS1_NON_MOVERS,MS1_MOVERS,MS1_NONMIGRANTS,MS1_MIGRANTS,MS1_INTERNAL_MIGRANTS,MS1_INTERNAL_INTRAPROV_MIGRANT,MS1_INTERNAL_INTERPROV_MIGRANT,MS1_EXTERNAL_MIGRANT,TOT_MOBILITY_STATUS_5YR_AGO,MS5_NON_MOVERS,MS5_MOVERS,MS5_NONMIGRANTS,MS5_MIGRANTS,MS5_INTERNAL_MIGRANTS,MS5_INTERNAL_INTRAPROV_MIGRANT,MS5_INTERNAL_INTERPROV_MIGRANT,MS5_EXTERNAL_MIGRANT,Shape__Area,Shape__Length
32,35190241,3519028,Vaughan,450,445,0,10,0,0,0,0,0,435,385,55,40,10,15,10,0,0,211091.408203125,2249.38739502132
33,35191316,3519028,Vaughan,1070,985,80,40,40,35,35,0,10,1025,690,330,175,150,85,75,15,70,245853.381591797,2038.62556570884
34,35191318,3519028,Vaughan,520,490,35,10,25,25,20,10,0,505,320,180,90,90,85,75,15,10,67300.705078125,1051.52739397716
35,35191322,3519028,Vaughan,1365,1200,160,105,55,40,30,15,15,1280,750,535,355,175,130,80,50,45,658258.675292969,3604.97148453471
36,35191324,3519028,Vaughan,1045,965,75,40,35,10,10,0,25,1000,640,355,145,210,100,95,10,110,186878.197753906,1777.39193979383
37,35191326,3519028,Vaughan,985,950,40,25,15,10,10,0,0,950,665,285,170,115,55,60,0,60,187985.623779297,1758.00338897318
38,35191323,3519028,Vaughan,940,845,100,55,40,10,10,0,30,860,555,310,115,190,90,80,0,100,235990.024902344,1970.0177494666
39,35191313,3519028,Vaughan,1010,925,90,45,40,35,35,0,10,980,720,260,120,135,70,70,0,65,198026.671630859,1868.64294474879
40,35191311,3519028,Vaughan,2580,2335,250,165,80,80,60,20,0,2380,1320,1060,690,370,275,240,35,95,495822.641845703,3037.81846957709
41,35191312,3519028,Vaughan,1500,1410,95,70,25,25,25,0,0,1405,840,565,300,265,210,205,0,55,223084.805664063,1919.8574952752
42,35191315,3519028,Vaughan,1065,910,155,95,60,60,55,0,10,1005,780,230,100,130,70,50,25,60,150151.801269531,1652.42229548444
43,35191317,3519028,Vaughan,615,585,25,10,15,15,15,0,0,585,455,125,100,30,20,15,10,10,85774.3271484375,1209.72010373782
44,35190269,3519028,Vaughan,315,300,10,0,15,10,0,0,10,290,165,120,10,110,75,70,10,35,34089.1826171875,1094.42921219394
45,35190263,3519028,Vaughan,2345,2160,185,75,110,80,85,0,25,2265,1595,675,305,370,260,250,10,105,1130338.02368164,10058.4394956063
46,35190236,3519028,Vaughan,2255,2165,90,55,35,10,10,0,20,2215,1905,310,175,140,85,80,15,50,3320504.77929688,9717.59821389057
47,35190270,3519028,Vaughan,1005,970,35,30,10,0,0,0,10,975,880,100,25,75,60,60,0,15,254253.447753906,3144.06593020815
48,35190348,3519028,Vaughan,355,325,30,10,20,0,10,0,15,345,310,40,10,30,0,0,10,25,56966.1721191406,1256.85965198328
49,35190346,3519028,Vaughan,495,465,35,30,0,10,0,0,0,480,360,120,50,70,40,40,0,30,67854.2565917969,1520.5532743398
50,35190345,3519028,Vaughan,500,495,0,0,0,0,0,0,0,485,390,95,40,55,45,45,0,10,91760.5051269531,2229.24565569292
51,35190347,3519028,Vaughan,510,460,50,25,25,10,10,0,10,490,340,150,95,60,60,55,10,0,108277.307373047,1534.29708203253
52,35190349,3519028,Vaughan,350,310,40,30,0,0,0,0,0,340,255,80,65,20,0,0,0,20,107367.539550781,1355.7981978344
53,35190350,3519028,Vaughan,420,410,15,0,15,0,0,0,10,410,370,40,10,35,25,25,0,10,62392.4162597656,1240.39534718545
54,35190351,3519028,Vaughan,210,205,0,0,0,0,0,0,10,205,175,35,10,25,25,30,0,0,30268.2661132813,887.268174950597
55,35190268,3519028,Vaughan,190,185,10,0,0,0,0,0,0,190,170,20,15,10,0,0,0,10,41985.4162597656,1202.62565712321
56,35191271,3519028,Vaughan,945,880,65,35,30,35,30,0,0,910,785,130,95,35,30,30,0,0,25761948.4567871,34720.4722564845
57,35190274,3519028,Vaughan,615,585,25,10,10,15,15,0,0,590,470,120,70,45,20,20,0,25,83317.3239746094,1231.07466030223
58,35190275,3519028,Vaughan,470,440,30,15,15,10,10,0,0,445,345,100,50,55,45,50,0,0,84959.9274902344,1283.32296742392
59,35190261,3519028,Vaughan,1825,1435,390,175,220,200,200,10,20,1755,1195,560,195,365,320,300,25,50,28070584.7175293,23166.9957510957
60,35190262,3519028,Vaughan,455,445,10,0,10,10,0,0,10,440,385,55,30,25,10,15,0,15,1673002.12011719,6084.73999192395
61,35190272,3519028,Vaughan,600,560,35,25,15,15,10,10,0,590,430,155,80,75,50,40,15,25,458289.085693359,3718.84699401089
62,35190271,3519028,Vaughan,350,325,25,10,15,15,20,0,0,335,270,70,15,55,55,60,0,0,54237.8562011719,1244.94023256365
63,35190273,3519028,Vaughan,545,520,25,0,20,10,10,0,10,540,440,105,85,20,10,10,0,10,125834.482421875,1946.56147585663
64,35190276,3519028,Vaughan,625,600,25,25,0,0,0,0,10,610,510,105,40,70,40,40,0,20,82935.5974121094,1190.31032063093
65,35190277,3519028,Vaughan,410,365,40,40,0,0,0,0,0,405,295,110,75,40,30,30,0,10,112569.588378906,1395.04220405159
66,35190281,3519028,Vaughan,360,345,15,0,10,10,0,0,0,355,280,70,50,20,0,0,0,20,46771.388671875,1097.77403395679
67,35190280,3519028,Vaughan,750,695,55,45,10,10,0,0,0,715,560,155,55,100,50,50,10,50,131339.633789063,2706.30586418746
68,35190278,3519028,Vaughan,335,320,20,15,10,0,0,0,10,325,195,130,35,95,65,60,0,35,54795.4611816406,1416.43829216809
69,35190279,3519028,Vaughan,555,510,50,0,50,45,50,0,0,545,415,135,30,105,105,95,10,10,116108.259277344,3062.24959349083
70,35190358,3519028,Vaughan,495,460,30,0,30,0,10,0,25,485,405,80,55,25,10,10,0,15,160236.479980469,2215.09694461703
71,35190228,3519028,Vaughan,485,450,40,35,0,10,10,0,0,470,395,70,40,35,30,30,0,0,454502.513671875,3763.84372189179
72,35190226,3519028,Vaughan,230,225,0,10,0,0,0,0,0,235,180,50,35,10,10,10,0,0,69151.8439941406,1933.70887422354
73,35190227,3519028,Vaughan,505,490,15,0,10,10,10,0,0,490,405,90,70,15,10,10,0,10,132874.602539063,1559.80714576252
74,35190224,3519028,Vaughan,605,575,30,10,20,15,15,0,0,560,420,140,55,90,65,65,0,25,135318.517333984,2095.28280477576
75,35190223,3519028,Vaughan,310,310,0,0,10,10,10,0,0,310,260,55,20,35,30,30,0,10,79344.4301757813,1336.9400598386
76,35190225,3519028,Vaughan,375,380,0,0,0,0,0,0,0,375,335,35,15,20,15,15,0,0,176184.459228516,4022.6081793753
77,35190222,3519028,Vaughan,925,885,40,20,20,15,20,0,10,910,790,120,80,35,25,25,0,10,193396.772949219,2282.62245924697
78,35190220,3519028,Vaughan,540,510,30,30,0,0,0,0,0,535,460,70,60,10,15,15,0,0,257512.026123047,2378.29877076001
79,35191075,3519028,Vaughan,620,610,10,0,10,0,0,0,0,590,500,90,65,20,15,15,0,0,1043321.21191406,5986.13317764494
80,35191145,3519028,Vaughan,810,750,55,45,15,15,10,0,0,765,525,240,185,55,40,20,20,10,396733.147949219,2785.31194990282
81,35190372,3519036,Markham,485,375,110,65,50,35,35,0,15,470,265,205,75,125,80,80,0,50,140038.626708984,1747.56216129666
82,35190373,3519036,Markham,435,395,40,15,30,0,0,0,25,425,290,135,50,90,10,10,0,75,129034.092285156,1497.4387234472
83,35190375,3519036,Markham,435,390,45,20,25,0,0,0,25,420,265,160,65,90,40,40,0,50,158534.649658203,1695.88486010528
84,35190264,3519028,Vaughan,715,660,55,25,25,25,25,0,0,695,595,95,65,25,20,20,0,10,290802.543212891,4872.13909765834
85,35190267,3519028,Vaughan,290,265,25,10,15,10,15,0,0,280,215,65,15,50,25,25,0,25,59223.4294433594,1395.35845909015
86,35190266,3519028,Vaughan,910,840,65,35,35,30,30,0,0,890,740,145,90,60,40,40,10,15,250527.493408203,2584.0690742165
87,35190265,3519028,Vaughan,455,445,10,10,0,0,0,10,0,435,415,15,10,0,0,0,0,0,51108.9633789063,1456.72996005632
88,35190230,3519028,Vaughan,685,555,130,65,65,65,65,0,10,670,275,400,280,120,120,120,0,0,333797.686035156,3729.03743496853
89,35190221,3519028,Vaughan,535,520,15,0,15,0,0,0,15,525,415,110,100,15,0,0,0,10,139123.49609375,2079.11325494229
90,35190248,3519028,Vaughan,625,605,15,15,0,10,10,0,0,615,510,105,85,20,25,20,0,0,154988.771240234,1896.71720305568
91,35190247,3519028,Vaughan,575,560,20,20,0,0,0,0,0,575,530,45,25,20,20,20,0,0,184933.279785156,2016.91475965093
92,35190245,3519028,Vaughan,385,380,10,0,10,10,10,0,0,385,335,55,45,0,10,10,0,0,118062.426513672,2950.88631977463
93,35190200,3519028,Vaughan,450,425,25,15,15,15,15,0,0,435,370,60,40,20,20,20,0,0,98185.7463378906,1763.21798101484
